image,subject_set,site,veg_type,location,latitude,longitude,elevation
./masked_images/kelloggcorn/2014/kelloggcorn_2014_08_15_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_09_05_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_08_02_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_08_20_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_10_23_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_10_07_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_11_30_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_07_25_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kelloggcorn/2014/kelloggcorn_2014_07_02_110300_masked_AG0001.jpg,AG_masked,kelloggcorn,AG,"Kellogg Biological Station, Michigan, USA",42.437536,-85.322547,288
./masked_images/kendall/2012/kendall_2012_10_01_100108_masked_GR0001.jpg,GR_masked,kendall,GR,"Kendall Grassland, Arizona, USA",31.73653,-109.94189,1291
./masked_images/kendall/2012/kendall_2012_12_08_120112_masked_GR0001.jpg,GR_masked,kendall,GR,"Kendall Grassland, Arizona, USA",31.73653,-109.94189,1291
./masked_images/kendall/2013/kendall_2013_03_09_120109_masked_GR0001.jpg,GR_masked,kendall,GR,"Kendall Grassland, Arizona, USA",31.73653,-109.94189,1291
./masked_images/kendall/2013/kendall_2013_09_22_120112_masked_GR0002.jpg,GR_masked,kendall,GR,"Kendall Grassland, Arizona, USA",31.73653,-109.94189,1291
./masked_images/kendall/2013/kendall_2013_09_30_120111_masked_GR0002.jpg,GR_masked,kendall,GR,"Kendall Grassland, Arizona, USA",31.73653,-109.94189,1291
./masked_images/kendall/2013/kendall_2013_04_02_120107_masked_GR0001.jpg,GR_masked,kendall,GR,"Kendall Grassland, Arizona, USA",31.73653,-109.94189,1291
./masked_images/kendall/2013/kendall_2013_01_25_120107_masked_GR0001.jpg,GR_masked,kendall,GR,"Kendall Grassland, Arizona, USA",31.73653,-109.94189,1291
./masked_images/kendall/2012/kendall_2012_09_27_120131_masked_GR0001.jpg,GR_masked,kendall,GR,"Kendall Grassland, Arizona, USA",31.73653,-109.94189,1291
./masked_images/kendall/2013/kendall_2013_11_07_113111_masked_GR0002.jpg,GR_masked,kendall,GR,"Kendall Grassland, Arizona, USA",31.73653,-109.94189,1291
./masked_images/kendall/2014/kendall_2014_07_18_120113_masked_GR0002.jpg,GR_masked,kendall,GR,"Kendall Grassland, Arizona, USA",31.73653,-109.94189,1291
./masked_images/konza/2013/konza_2013_03_04_074745_masked_GR0001.jpg,GR_masked,konza,GR,"Konza Prairie Biological Station, Kansas, USA",39.0824,-96.5603,443
./masked_images/konza/2014/konza_2014_01_29_120106_masked_GR0001.jpg,GR_masked,konza,GR,"Konza Prairie Biological Station, Kansas, USA",39.0824,-96.5603,443
./masked_images/konza/2014/konza_2014_08_03_120105_masked_GR0001.jpg,GR_masked,konza,GR,"Konza Prairie Biological Station, Kansas, USA",39.0824,-96.5603,443
./masked_images/konza/2014/konza_2014_07_04_120115_masked_GR0001.jpg,GR_masked,konza,GR,"Konza Prairie Biological Station, Kansas, USA",39.0824,-96.5603,443
./masked_images/konza/2013/konza_2013_05_10_120129_masked_GR0001.jpg,GR_masked,konza,GR,"Konza Prairie Biological Station, Kansas, USA",39.0824,-96.5603,443
./masked_images/konza/2013/konza_2013_09_13_120116_masked_GR0001.jpg,GR_masked,konza,GR,"Konza Prairie Biological Station, Kansas, USA",39.0824,-96.5603,443
./masked_images/konza/2012/konza_2012_06_21_120115_masked_GR0001.jpg,GR_masked,konza,GR,"Konza Prairie Biological Station, Kansas, USA",39.0824,-96.5603,443
./masked_images/konza/2013/konza_2013_03_19_120117_masked_GR0001.jpg,GR_masked,konza,GR,"Konza Prairie Biological Station, Kansas, USA",39.0824,-96.5603,443
./masked_images/konza/2014/konza_2014_05_24_120114_masked_GR0001.jpg,GR_masked,konza,GR,"Konza Prairie Biological Station, Kansas, USA",39.0824,-96.5603,443
./masked_images/konza/2013/konza_2013_01_20_044102_masked_GR0001.jpg,GR_masked,konza,GR,"Konza Prairie Biological Station, Kansas, USA",39.0824,-96.5603,443
./masked_images/merbleue/2013/merbleue_2013_05_01_120103_masked_SH0001.jpg,SH_masked,merbleue,SH,"Mer Bleue Conservation Area, Ottawa, Canada",45.4094,-75.5187,69
./masked_images/merbleue/2014/merbleue_2014_06_20_120105_masked_SH0001.jpg,SH_masked,merbleue,SH,"Mer Bleue Conservation Area, Ottawa, Canada",45.4094,-75.5187,69
./masked_images/merbleue/2014/merbleue_2014_06_19_120106_masked_SH0001.jpg,SH_masked,merbleue,SH,"Mer Bleue Conservation Area, Ottawa, Canada",45.4094,-75.5187,69
./masked_images/merbleue/2013/merbleue_2013_09_12_120105_masked_SH0001.jpg,SH_masked,merbleue,SH,"Mer Bleue Conservation Area, Ottawa, Canada",45.4094,-75.5187,69
./masked_images/merbleue/2013/merbleue_2013_09_20_120105_masked_SH0001.jpg,SH_masked,merbleue,SH,"Mer Bleue Conservation Area, Ottawa, Canada",45.4094,-75.5187,69
./masked_images/merbleue/2012/merbleue_2012_11_24_120105_masked_SH0001.jpg,SH_masked,merbleue,SH,"Mer Bleue Conservation Area, Ottawa, Canada",45.4094,-75.5187,69
./masked_images/merbleue/2013/merbleue_2013_02_25_120104_masked_SH0001.jpg,SH_masked,merbleue,SH,"Mer Bleue Conservation Area, Ottawa, Canada",45.4094,-75.5187,69
./masked_images/merbleue/2014/merbleue_2014_08_18_120104_masked_SH0001.jpg,SH_masked,merbleue,SH,"Mer Bleue Conservation Area, Ottawa, Canada",45.4094,-75.5187,69
./masked_images/merbleue/2013/merbleue_2013_12_01_120104_masked_SH0001.jpg,SH_masked,merbleue,SH,"Mer Bleue Conservation Area, Ottawa, Canada",45.4094,-75.5187,69
./masked_images/merbleue/2013/merbleue_2013_05_27_120103_masked_SH0001.jpg,SH_masked,merbleue,SH,"Mer Bleue Conservation Area, Ottawa, Canada",45.4094,-75.5187,69
./masked_images/niwot2/2010/niwot2_2010_05_03_120139_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2011/niwot2_2011_10_01_120140_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2011/niwot2_2011_01_09_120140_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2010/niwot2_2010_12_10_120140_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2010/niwot2_2010_02_03_120139_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2013/niwot2_2013_11_23_120141_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2013/niwot2_2013_01_15_120139_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2011/niwot2_2011_12_27_120140_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2013/niwot2_2013_06_06_120140_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2014/niwot2_2014_02_16_120140_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2013/niwot2_2013_05_02_060141_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2014/niwot2_2014_07_19_120142_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
